"TouristSpotId","TourApiContentId","Name","Address","Status","ImageUrl","SourcePageUrl","SourceTitle","ProviderHost","HttpStatus","ContentType","VerifiedAt","Notes"
"27630","130527","부천 물 박물관","경기도 부천시 길주로 691","APPROVED_OFFICIAL_WEB","https://ggtour.or.kr/wp-content/uploads/2013/06/%EB%B6%8071.jpg","https://www.ggtour.or.kr/blog/2013/06/29/%EA%B2%BD%EA%B8%B0%EB%8F%84-%EC%97%AC%ED%96%89%EC%A7%80-%EB%AC%BC%EC%98%88%EC%88%A0%EC%9D%84-%EB%A7%8C%EB%82%98%EB%8B%A4-%EB%B6%80%EC%B2%9C-%EB%AC%BC%EB%B0%95%EB%AC%BC%EA%B4%80/","경기도 부천 추천여행 – 물,예술을 만나다 ! 부천 물박물관","www.ggtour.or.kr","206","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27631","130332","채만식 문학관","전북특별자치도 군산시 강변로 449","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27659","1621764","동강서원","경상북도 경주시 강동면 유금강정길 40-25","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27710","1621680","용산서원(경주)","경상북도 경주시 내남면 포석로 110-34","APPROVED_TOURAPI_INDEX","https://tong.visitkorea.or.kr/cms/resource/06/3032606_image2_1.jpg","http://www.koreatriptips.com/location.html?mapX=129.2082010557&mapY=35.7522891511","용산서원(경주) - 주변 여행 및 근처 관광 명소 - 국내 여행 정보와 관광 명소 정보","www.koreatriptips.com","206","image/jpg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 140"
"27750","127243","봉강재","경상북도 포항시 북구 기계면 기남길253번길 74","APPROVED_OFFICIAL_WEB","https://dh.aks.ac.kr/~heritage/wiki/images/thumb/4/4d/%ED%8F%AC%ED%95%AD%EB%B4%89%EA%B0%95%EC%9E%AC.jpg/800px-%ED%8F%AC%ED%95%AD%EB%B4%89%EA%B0%95%EC%9E%AC.jpg","http://dh.aks.ac.kr/~heritage/wiki/index.php/%ED%8C%8C%EC%9D%BC:%ED%8F%AC%ED%95%AD%EB%B4%89%EA%B0%95%EC%9E%AC.jpg","파일:포항봉강재.jpg - HeritageWiki","dh.aks.ac.kr","206","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27757","1955906","옥병서원","경기도 포천시 창수면 옥수로327번길 195","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27798","126881","귀암사","충청남도 금산군 부리면 평촌1길 2","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
"27799","127184","고려궁지","인천광역시 강화군 강화읍 북문길 42","APPROVED_OFFICIAL_WEB","https://itour.incheon.go.kr/common/viewImg.do?imgId=DBI22011316571214663","https://itour.incheon.go.kr/ssst/ssst/detail.do?cotId=ITD21121613170591901","강화 고려궁지ㅣ여행지ㅣ인천투어","itour.incheon.go.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27966","1940880","요산김정한문학관","부산광역시 금정구 팔송로 60-6 (남산동)","APPROVED_TOURAPI_INDEX","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6effe27b-4d92-40d5-8520-57de860b0389","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d9f4df38-592c-4936-b34d-9def4c0736b2%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20","요산김정한문학관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석","korean.visitkorea.or.kr","200","image/jpeg","2026-09-15","네이버 이미지 검색 원문 제목에서 장소명 일치, 검색어에 지역 포함, 이미지 GET 응답 확인; 점수 125"
"27991","1955488","함양향교","경상남도 함양군 함양읍 원교길 50","NO_WEB_CANDIDATE","","","","","","","2026-09-15","장소명이 원문 제목과 일치하고 신뢰 가능한 호스트에서 정상 응답한 후보 없음"
