"TouristSpotId","Name","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Provider","Attribution","VerifiedAt","Notes"
"34108","양구전쟁기념관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3179122-c645-4fa2-83e2-8a60f94fa55d","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=16a5d138-a634-47d1-9d28-08f78c1249f6","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 양구전쟁기념관> 여행지 | '열린 관광' 모두의 여행:대한민국 구석구석"
"38581","영일민속박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c40bebe-1cab-4914-83ae-1b3aad93e636","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=0782ae60-6462-48e8-973c-0012645d8b97","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 영일민속박물관> 여행지 :대한민국 구석구석 영일민속박물관> 여행지 :대한민국 구석구석"
"39157","영인산산림박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab0538a3-8c45-4465-95b4-6cf17cc0af94","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=a836a544-7e9f-4b4f-9a53-67eef0bdcfd7","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 영인산산림박물관 | 대한민국 구석구석"
"40058","안회당과 여하정","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0455bed-1cae-47cc-9f8c-210bb6dd1da0","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=cc3a4d7f-7017-4366-b142-39a76e00017b","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 안회당과 여하정 | 대한민국 구석구석"
"40061","최영장군 사당","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d393615-8ebb-4f44-bf76-90ffde362c12","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a7d8be9e-1bad-4b61-85cf-95660c08aa47","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 최영장군 사당> 여행지 :대한민국 구석구석 최영장군 사당> 여행지 :대한민국 구석구석"
"43268","예끼마을","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2978b67c-5b43-431d-87bb-8204dd0ca364","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=6986daf3-599e-45a5-9be6-19344b9928c7","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 예끼마을 | 대한민국 구석구석"
"46047","영월화석박물관","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=20750f7b-f954-41c0-b5a8-4b57938775f7","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6d60fce2-3745-4c1a-8425-c3debe4bd5fb","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 영월화석박물관> 여행지 :대한민국 구석구석 영월화석박물관> 여행지 :대한민국 구석구석"
"46304","용암정(안동)","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04ff79f2-b839-42c3-964e-1ebfb478e585","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2b536876-8883-4d20-83da-3f01bbf606ff","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 용암정(안동)> 여행지 :대한민국 구석구석 용암정(안동)> 여행지 :대한민국 구석구석"
"46375","명탄서원","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=12f803bb-5402-4747-8847-098426ec862b","https://korean.visitkorea.or.kr/detail/ms_detail_print.do?cotid=4735e4ca-e0e7-4f61-a7a1-abdf86499add","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: (인쇄용) 명탄서원 | 대한민국 구석구석"
"46944","철원 농산물검사소","https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=769473eb-04ef-4fb8-b165-eeb7a290e792","https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d79fae3e-1eb9-428b-aadb-f7408cfbc045","TOURAPI_WEB_INDEX","","한국관광공사 대한민국 구석구석","사진 출처: 한국관광공사 대한민국 구석구석","2026-09-16","장소명 검색 결과 일치; 이미지 원본 한국관광공사 호스트; 이미지 GET/HEAD 확인; 원문: 철원 농산물검사소 > 여행지 :대한민국 구석구석 철원 농산물검사소 > 여행지 :대한민국 구석구석"
