"TouristSpotId","TourApiContentId","Name","Address","Status","Provider","ProviderItemName","ImageUrl","SourcePageUrl","LicenseCode","LicenseUrl","Attribution","ImageDescription","HttpStatus","ContentType","VerifiedAt","Notes"
"27068","126912","봉천동 마애미륵불좌상","서울특별시 관악구 낙성대로15길 56-39","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27121","913710","염의서원","전북특별자치도 군산시 옥산면 염의서원길 156-9","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27199","1940446","킴스아트필드미술관","부산광역시 금정구 죽전1길 29","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27236","1958266","방산서원(영주)","경상북도 영주시 이산면 영봉로329번길 143-5","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27306","1621637","충의당","경상북도 경주시 내남면 이조3길 28-17","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27412","1954348","홍천향교","강원특별자치도 홍천군 홍천읍 석화로 101-14","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27492","127902","합미성(장수)","전북특별자치도 장수군 장수읍 용계리 산110-1번지 일원","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27623","3043911","성북선잠박물관","서울특별시 성북구 성북로 96 (성북동)","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27630","130527","부천 물 박물관","경기도 부천시 길주로 691","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
"27631","130332","채만식 문학관","전북특별자치도 군산시 강변로 449","NO_VERIFIED_IMAGE","","","","","","","","","","","2026-09-15","국가유산청 목록 API 오류: 대상 컴퓨터에서 연결을 거부했으므로 연결하지 못했습니다. (www.cha.go.kr:443)"
